patient,chr,start,end,type
CONTROL7,22,39878568,40395065,Gain
CONTROL7,15,39488008,40286943,LOH
CONTROL7,22,16719387,16759971,LOH
CONTROL7,19,61182229,61298671,Loss
CONTROL7,17,46864510,47458633,LOH
CONTROL7,8,97626824,98451295,LOH
CONTROL7,20,34709665,35639504,LOH
CONTROL7,22,10272741,10566523,LOH
CONTROL7,2,48379073,48462787,Gain
CONTROL7,5,177276188,178166965,LOH
CONTROL7,1,226909026,227405978,Loss
CONTROL7,11,29944731,30218664,Loss
CONTROL7,9,95278395,95699330,Loss
CONTROL7,10,115429803,116257298,Loss
CONTROL7,9,45134544,45787454,Loss
CONTROL7,7,82829848,83712033,Gain
CONTROL7,8,53552963,53614627,LOH
CONTROL7,X,14062840,14531721,LOH
CONTROL7,17,10450317,10692672,Loss
CONTROL7,22,39962911,40759209,Gain
CONTROL7,7,19543826,19796321,Loss
CONTROL7,17,62455908,62839332,Gain
CONTROL7,Y,14585742,15166755,Loss
CONTROL7,Y,19719973,19878183,Loss
CONTROL7,11,33817367,34004415,LOH
CONTROL7,6,68810449,69792311,LOH
CONTROL7,22,17426470,18131491,Gain
CONTROL7,10,14928816,15149394,Loss
CONTROL7,16,64513084,65293781,LOH
CONTROL7,12,15104928,15183833,Gain
CONTROL7,18,51484255,52417113,LOH
CONTROL7,9,50646029,51448145,Gain
CONTROL7,16,65053493,65600170,Gain
CONTROL7,18,13779411,14449746,Gain
CONTROL7,12,112378535,112971323,LOH
CONTROL7,18,66865858,67769799,Gain
CONTROL7,16,26142225,26212897,Gain
CONTROL7,16,76750322,77281769,Loss
CONTROL7,20,10284667,10630771,LOH
CONTROL7,20,29266482,29767825,LOH
CONTROL7,Y,48316097,49213873,Loss
CONTROL7,9,44351100,45099134,Loss
CONTROL7,18,29207373,29746680,Loss
CONTROL8,8,96318303,97011758,LOH
CONTROL8,16,84433388,84663458,Gain
CONTROL8,2,182681307,183302777,LOH
CONTROL8,11,94601291,95122582,LOH
CONTROL8,15,48957851,49121943,Loss
CONTROL8,X,111583068,112021865,LOH
CONTROL8,14,49567678,50305505,Loss
CONTROL8,12,112432013,112580997,Gain
CONTROL8,20,36433185,36846963,Gain
CONTROL8,Y,17037910,17270937,Gain
CONTROL8,13,22342242,22662191,Loss
CONTROL8,8,11672229,12076399,Gain
CONTROL8,3,92087201,92150825,Gain
CONTROL8,6,139465321,139939531,Gain
CONTROL8,20,22371082,23303125,LOH
CONTROL8,21,18578782,19573390,Gain
CONTROL8,14,78006858,78290545,Gain
CONTROL8,18,61116566,61645447,Loss
CONTROL8,17,32506070,32782552,Loss
CONTROL8,Y,56277210,56827537,LOH
CONTROL8,5,92604168,93141931,Gain
CONTROL8,10,19073589,19180899,LOH
CONTROL8,8,69522401,69936544,Gain
CONTROL8,15,51204721,51308838,LOH
CONTROL8,1,13846279,13956894,LOH
CONTROL8,8,26249002,26816639,Loss
CONTROL8,18,67307883,67675888,LOH
CONTROL8,X,137534943,138184080,Gain
CONTROL8,19,53613628,54500482,Gain
CONTROL8,7,150372791,151045670,Gain
CONTROL8,6,131245521,131667623,Gain
CONTROL8,Y,57217118,57634709,Gain
CONTROL8,6,152564638,152857648,Gain
CONTROL8,4,116643533,117185623,Gain
CONTROL8,12,46482045,47215301,Gain
CONTROL8,1,66690043,67432355,LOH
CONTROL8,2,113807862,114321428,Gain
CONTROL8,16,3430852,4042183,Gain
CONTROL8,12,26191588,26237674,LOH
CONTROL8,18,11616642,12007951,Loss
CONTROL8,22,22456634,22646578,Gain
CONTROL8,18,39765218,40612492,Loss
CONTROL8,21,25674036,25800487,LOH
CONTROL8,17,46503835,47463413,Loss
CONTROL8,4,173269241,173449811,Gain
CONTROL8,12,80081675,80407329,LOH
CONTROL8,1,115317391,115918056,LOH
CONTROL8,14,29721622,29756307,Loss
CONTROL8,2,60135499,60995323,Loss
CONTROL8,14,43359651,43430865,Gain
CONTROL8,22,31721649,32258747,LOH
CONTROL8,11,96492597,96748590,Loss
CONTROL8,19,9948259,10642771,LOH
CONTROL8,14,368388,387752,Gain
CONTROL8,4,165879890,166402888,Gain
CONTROL8,3,15572712,16460389,LOH
CONTROL8,8,113867419,114025078,Gain
CONTROL8,4,9409917,9977436,Gain
CONTROL8,15,26949954,27624867,LOH
CONTROL8,11,129880600,130043317,LOH
CONTROL8,12,51377025,51994206,Gain
CONTROL8,6,109568617,110429256,Gain
CONTROL8,1,59255551,59816361,Gain
CONTROL8,Y,27426838,27769602,LOH
CONTROL8,5,151336097,151666034,Loss
CONTROL8,4,60557689,60751074,Gain
CONTROL8,10,51923141,52808106,Gain
CONTROL8,9,15048990,15534306,LOH
CONTROL8,4,67594707,67783680,Gain
CONTROL8,14,10911172,11791959,Gain
CONTROL8,12,101098387,101624525,Gain
CONTROL8,11,101178218,101543757,LOH
CONTROL8,17,44259417,45239598,Gain
CONTROL8,2,119144322,119316766,Loss
CONTROL8,20,2120709,2664645,Loss
CONTROL8,2,142114413,142934056,Gain
CONTROL8,4,171297466,171672706,LOH
CONTROL8,5,176198463,176832271,Gain
CONTROL8,7,95575829,96195782,LOH
CONTROL8,X,70690037,70810456,Loss
CONTROL8,15,99088839,99943026,Gain
CONTROL8,2,55903299,56034205,Gain
CONTROL8,18,26191753,27119665,Gain
CONTROL8,22,22743621,23557036,LOH
CONTROL8,7,84384797,84562744,LOH
CONTROL8,17,46810870,47238235,LOH
CONTROL8,15,67025452,67718225,Loss
CONTROL8,1,167923964,168761079,Gain
CONTROL8,11,25512072,25642467,LOH
CONTROL8,13,103297057,104271925,Gain
CONTROL8,6,120043800,120866205,Loss
CONTROL8,13,35674384,36160722,Gain
CONTROL8,8,30466430,30837631,LOH
CONTROL8,18,43311341,43741629,Gain
CONTROL8,9,22761526,23073965,Loss
CONTROL8,1,198945563,199332431,Gain
CONTROL8,4,141621051,141701220,Loss
CONTROL8,14,88369015,89020040,Gain
CONTROL8,X,5621745,6063267,Gain
CONTROL8,18,73258141,73592067,LOH
CONTROL8,12,108592249,108691503,LOH
CONTROL9,16,52579985,53155782,Gain
CONTROL9,Y,23375433,24046484,Loss
CONTROL9,16,56636140,56826325,Gain
CONTROL9,6,125442145,125827458,Loss
CONTROL9,X,41876899,42622297,Gain
CONTROL9,17,68048106,68562710,Loss
CONTROL9,8,52010081,52916567,Loss
CONTROL9,Y,45215957,45873607,LOH
CONTROL9,19,31372899,31808384,LOH
CONTROL9,X,66974885,67961257,Gain
CONTROL9,1,127976072,128789140,LOH
CONTROL9,17,71176911,71829528,LOH
CONTROL9,6,55393636,55778897,Loss
CONTROL9,22,36680006,37137790,Gain
CONTROL9,1,59093261,59209807,LOH
CONTROL9,X,107015489,107930919,LOH
CONTROL9,7,9669629,9750085,LOH
CONTROL9,13,69825604,70405226,Gain
CONTROL9,6,115064749,115343010,Loss
CONTROL9,1,90455102,90561196,Gain
CONTROL9,4,153280738,153647388,LOH
CONTROL9,18,68758147,69277921,LOH
CONTROL9,10,76125555,76243213,LOH
CONTROL9,16,54129162,54459617,Gain
CONTROL9,17,41001508,41535734,Loss
CONTROL9,18,66118159,66594260,Loss
CONTROL9,11,75772164,76549882,Gain
CONTROL9,18,35824693,35852340,Gain
CONTROL9,18,19400209,20373330,Loss
CONTROL9,20,47102595,47838715,Gain
CONTROL9,14,33402729,34041704,Loss
CONTROL9,11,88969041,89265498,Gain
CONTROL9,9,133086365,133819021,Loss
CONTROL9,6,117376566,118013062,Gain
CONTROL9,3,73185775,73244172,Gain
CONTROL9,8,61661905,61859512,Gain
CONTROL9,7,25815944,26166037,LOH
CONTROL9,18,43345774,44229486,Loss
CONTROL9,12,94681974,95312176,Gain
CONTROL9,Y,46290029,46419050,Gain
CONTROL9,13,57547061,57892130,Loss
CONTROL9,6,84684403,85607884,LOH
CONTROL9,X,30999645,31136172,LOH
CONTROL9,3,65680736,66673298,Gain
CONTROL9,X,146020848,146901523,Gain
CONTROL9,16,31801424,32564517,Gain
CONTROL9,Y,18613069,19014402,LOH
CONTROL9,17,2270526,3259687,Gain
CONTROL9,13,85390534,85927983,Loss
CONTROL9,13,61777138,62740668,Loss
CONTROL9,20,25130019,26052419,LOH
CONTROL9,18,46494908,46904450,LOH
CONTROL9,18,15092830,15840923,LOH
CONTROL9,16,46116607,46562720,Gain
CONTROL9,1,50067972,50694436,Loss
CONTROL9,5,98694260,99019233,Loss
CONTROL9,12,52157242,52424121,Loss
CONTROL9,20,61164263,61470743,Gain
CONTROL9,8,25698033,26315476,LOH
CONTROL9,3,163877024,164600814,Loss
CONTROL9,1,225036354,225838809,LOH
CONTROL9,4,135773805,136289384,Gain
CONTROL9,21,33028454,33534854,LOH
CONTROL9,15,50833771,51079734,Gain
CONTROL9,6,97581983,97702534,Gain
CONTROL9,2,98689521,99310375,Loss
CONTROL9,20,60472246,61052958,Gain
CONTROL9,17,26860052,27740789,Loss
CONTROL9,1,176233990,177151498,Loss
CONTROL9,22,43633615,44156383,LOH
CONTROL9,20,14367085,15012483,Gain
CONTROL9,20,58753758,59377977,Gain
CONTROL9,5,167522156,167977022,Loss
CONTROL9,1,214247724,215187023,Loss
CONTROL9,5,80772965,81509524,Gain
CONTROL9,11,66741050,67289951,LOH
CONTROL9,17,16031382,16867382,Gain
CONTROL9,21,43927053,44718431,Loss
CONTROL9,10,128841283,129123926,Loss
CONTROL9,13,51790074,52282290,LOH
CONTROL9,21,11956511,12904922,LOH
CONTROL9,19,18307234,18774122,Gain
CONTROL9,11,7578804,7932646,LOH
CONTROL9,9,52063440,52274342,LOH
CONTROL9,17,25511747,25756623,LOH
CONTROL9,11,2497430,2937967,Gain
CONTROL9,19,22531351,23378637,LOH
CONTROL9,21,14919442,15812958,LOH
CONTROL9,5,23340863,23755468,Loss
CONTROL9,9,32119274,32486249,LOH
CONTROL9,Y,28499695,29005380,LOH
CONTROL9,20,25031369,25239217,Gain
CONTROL9,16,80636888,81394906,Loss
CONTROL9,11,81602313,82484839,Gain
CONTROL9,9,88346546,89332887,Gain
CONTROL9,10,90462189,91290485,Loss
CONTROL9,18,73077645,74037062,Loss
CONTROL9,18,436543,1068991,Gain
CONTROL9,1,49188459,49695705,Loss
CONTROL9,7,107179891,107259085,LOH
CONTROL9,10,31486710,31584979,Gain
CONTROL10,4,1717841,2417415,Loss
CONTROL10,8,125696141,125854865,Loss
CONTROL10,14,55470612,55939825,Loss
CONTROL10,6,3269868,3780232,Gain
CONTROL10,11,96714653,97471813,LOH
CONTROL10,22,20431464,21019921,Loss
CONTROL10,Y,18595779,19514899,Gain
CONTROL10,8,49937834,50071420,Loss
CONTROL10,22,9869699,10654916,Gain
CONTROL10,1,164143603,164298602,LOH
CONTROL10,9,137288862,137937396,LOH
CONTROL10,2,50321171,50524608,Gain
CONTROL10,10,16469629,16988507,LOH
CONTROL10,X,88466868,88788113,Loss
CONTROL10,14,8321202,8536289,LOH
CONTROL10,6,77392346,77923392,Loss
CONTROL10,5,104644281,104883987,Loss
CONTROL10,13,70093361,70718404,LOH
CONTROL10,2,109243150,109323387,Loss
CONTROL10,13,73244088,73643708,Loss
CONTROL10,21,38608249,39073898,Gain
CONTROL10,9,9943721,10460383,Gain
CONTROL10,19,13452790,14329596,Loss
CONTROL10,12,51649686,52383940,Gain
CONTROL10,8,135425854,135958079,LOH
CONTROL10,9,69499090,70185548,LOH
CONTROL10,21,40201233,41012475,Gain
CONTROL10,13,86476808,86915787,Gain
CONTROL10,8,107920043,108418771,Loss
CONTROL10,3,158184869,158220273,LOH
CONTROL10,X,84777736,84894278,LOH
CONTROL10,17,31894668,32489294,LOH
CONTROL10,13,75518328,76094298,Loss
CONTROL10,3,13241514,13812443,LOH
CONTROL10,12,27187736,27876595,Gain
CONTROL10,7,34210739,34244001,LOH
CONTROL10,17,15498895,16223699,LOH
CONTROL10,6,70629036,71062598,Gain
CONTROL10,11,32088654,32107477,Gain
CONTROL10,2,9186955,9970302,Gain
CONTROL10,6,127208087,127795513,LOH
CONTROL10,22,6300796,7244760,Loss
CONTROL10,16,70823764,71397021,Loss
CONTROL10,15,10151475,10670699,LOH
CONTROL10,19,45656501,46299326,LOH
CONTROL10,X,142368230,142683141,Gain
CONTROL10,4,6986617,7250076,Gain
CONTROL10,12,23960263,24194290,Gain
CONTROL10,2,189370332,190320013,Gain
CONTROL10,15,84964197,85638539,Gain
CONTROL10,1,104327714,104445941,LOH
CONTROL10,14,104951930,105162658,Loss
CONTROL10,3,188087234,188394213,Loss
CONTROL10,X,102962588,103408966,Gain
CONTROL10,14,26105057,26399996,Gain
CONTROL10,14,68173941,69090514,Gain
CONTROL10,9,72750534,73348873,Gain
CONTROL10,21,10427028,10868252,Loss
CONTROL10,4,1333490,2004137,LOH
CONTROL10,2,5100196,5896232,Loss
CONTROL10,3,189757040,190460059,Gain
CONTROL10,17,15165680,15978061,LOH
CONTROL10,Y,39664276,39899759,Gain
CONTROL10,14,21932791,22085491,LOH
CONTROL10,2,197162102,197342641,Loss
CONTROL10,1,10608,534853,Loss
CONTROL10,11,107086966,108077416,Gain
CONTROL10,18,43273870,43378749,Loss
CONTROL10,16,24246883,25103084,Gain
CONTROL10,Y,51228373,51498821,Gain
CONTROL10,11,94023601,94765228,Gain
CONTROL10,14,44617632,44950974,LOH
CONTROL10,17,37940889,38785680,Loss
CONTROL10,4,29822574,30529483,Gain
CONTROL10,10,117090316,117300584,Loss
CONTROL10,17,34000281,34980591,Gain
CONTROL10,9,33479096,34243175,Loss
CONTROL10,16,80025139,80105520,Loss
CONTROL10,1,1952995,2468790,Gain
CONTROL10,22,42165068,42520355,Gain
CONTROL10,18,54375506,54908133,LOH
CONTROL10,16,83364574,83454630,Loss
CONTROL10,17,72785874,72969511,LOH
CONTROL10,6,97634873,98026587,LOH
CONTROL10,13,76047519,76124185,Gain
CONTROL10,1,50087340,50839621,LOH
CONTROL10,16,51435595,52318853,LOH
CONTROL10,13,107168592,107615004,Gain
CONTROL10,2,166066784,167021535,Gain
CONTROL10,18,75209989,75274961,Gain
CONTROL10,18,52003813,52084859,Gain
CONTROL10,4,152054567,152099522,Gain
CONTROL10,13,65780301,66257807,LOH
CONTROL10,5,9530609,10376731,Loss
CONTROL10,14,64204963,64959716,Loss
CONTROL10,3,173206850,173395860,LOH
CONTROL10,5,109631480,109816736,Loss
CONTROL10,19,41745588,41814510,LOH
CONTROL10,6,159270104,159978248,LOH
CONTROL10,11,132391663,132463530,Loss
CONTROL10,14,7497862,7588526,LOH
CONTROL11,X,14897746,15611227,LOH
CONTROL11,19,20035737,20581528,LOH
CONTROL11,5,161337503,162045047,LOH
CONTROL11,Y,48629989,49432840,Loss
CONTROL11,11,12347576,13306436,Loss
CONTROL11,21,2745690,3701863,Loss
CONTROL11,10,40324578,40846783,Gain
CONTROL11,9,97588475,98049036,Loss
CONTROL11,Y,6561971,7128684,Loss
CONTROL11,4,185580495,186103219,LOH
CONTROL11,18,31099074,31377777,LOH
CONTROL11,Y,26292211,26464281,LOH
CONTROL11,18,63356742,64011347,Loss
CONTROL11,11,109554014,110095176,LOH
CONTROL11,15,58964787,59375705,LOH
CONTROL11,4,2118043,2643778,LOH
CONTROL11,6,29007119,29854854,LOH
CONTROL11,9,3943100,4224478,Gain
CONTROL11,2,174268007,174995438,LOH
CONTROL11,11,79172265,79825047,Loss
CONTROL11,1,87609091,88199659,Gain
CONTROL11,Y,9196672,9512136,Gain
CONTROL11,9,137562135,138003541,Gain
CONTROL11,10,11150054,11466080,Gain
CONTROL11,19,19907925,19964947,Loss
CONTROL11,12,2583643,3201291,Gain
CONTROL11,15,11224430,11572657,LOH
CONTROL11,21,42292330,42823424,Gain
CONTROL11,13,97127910,97289328,LOH
CONTROL11,3,137409273,138250014,Loss
CONTROL11,11,78545165,78911088,Loss
CONTROL11,10,120245049,120514251,LOH
CONTROL11,20,16306424,17168301,Gain
CONTROL11,10,1864557,2058162,Loss
CONTROL11,6,16178703,17031225,LOH
CONTROL11,19,3251967,3352252,Loss
CONTROL11,2,141781755,141901041,Loss
CONTROL11,11,35774223,35982808,LOH
CONTROL11,15,112428,320675,LOH
CONTROL11,13,84384258,84703745,Gain
CONTROL11,10,33069506,34023036,Loss
CONTROL11,17,44368521,44639579,LOH
CONTROL11,21,42346682,43105220,Loss
CONTROL11,6,153538940,154445772,Loss
CONTROL11,1,151403640,152107602,Loss
CONTROL11,9,101150145,102047966,LOH
CONTROL11,6,134001157,134161426,Gain
CONTROL11,20,42800095,43106429,LOH
CONTROL11,8,96405425,96679774,Gain
CONTROL11,14,92664469,93084242,Gain
CONTROL11,11,4084674,4366797,LOH
CONTROL11,9,107939161,108115966,LOH
CONTROL11,5,165155073,165784028,Loss
CONTROL11,1,96530580,97112841,Loss
CONTROL11,9,67844729,68792759,Gain
CONTROL11,6,72722417,73221715,Loss
CONTROL11,Y,27737095,28705130,Loss
CONTROL11,17,15227469,15794093,Loss
CONTROL11,2,138018795,138701510,Loss
CONTROL11,8,18219632,18328258,Gain
CONTROL11,22,42340097,43238735,LOH
CONTROL11,21,45738336,46353489,Loss
CONTROL11,21,4914037,5406129,Gain
CONTROL11,10,53366109,53630424,Loss
CONTROL11,4,56753543,57244792,Gain
CONTROL11,8,114614226,114648070,Gain
CONTROL11,7,136513955,137232008,Gain
CONTROL11,14,4051536,4307530,Loss
CONTROL11,21,35982889,36578855,LOH
CONTROL11,X,57460290,58183509,Loss
CONTROL11,19,43584085,43917861,Gain
CONTROL11,3,23562776,23672236,Loss
CONTROL11,4,59563163,59965171,Loss
CONTROL11,10,12491980,13356742,Loss
CONTROL11,9,74398258,74639403,Loss
CONTROL11,19,62137280,62470507,LOH
CONTROL11,6,152818726,153345159,LOH
CONTROL11,4,160349525,161336624,LOH
CONTROL11,16,54953631,55850211,Loss
CONTROL11,5,118642506,118875962,LOH
CONTROL11,21,35878506,36102787,LOH
CONTROL11,6,65487676,66285843,Gain
CONTROL11,8,122490799,123048726,Gain
CONTROL11,20,52740144,53359922,Gain
CONTROL11,7,148409375,148839930,LOH
CONTROL11,6,89435701,89818516,Gain
CONTROL11,16,35507906,35970384,LOH
CONTROL11,10,66924772,67513575,LOH
CONTROL11,16,13259452,13335055,LOH
CONTROL11,2,5963792,6657221,Loss
CONTROL11,19,44428931,45199832,LOH
CONTROL11,5,152765849,152842877,LOH
CONTROL11,20,57545958,57895590,Loss
CONTROL11,13,60668977,61539273,Gain
CONTROL11,2,130616084,130873062,Gain
CONTROL11,3,85230178,85949084,Gain
CONTROL11,6,128580489,129012378,LOH
CONTROL11,1,152701976,153254805,LOH
CONTROL11,17,66455147,67444264,LOH
CONTROL11,15,22855043,22916824,Loss
CONTROL11,9,26435151,27091205,Loss
CONTROL12,3,23226881,23685702,Gain
CONTROL12,11,77934266,78637662,Gain
CONTROL12,3,22440096,22482555,LOH
CONTROL12,18,20485909,20787914,Loss
CONTROL12,21,20899164,21356829,Loss
CONTROL12,7,106647733,107061393,LOH
CONTROL12,8,68360115,68397099,Gain
CONTROL12,1,105749785,106164651,LOH
CONTROL12,X,76412067,76898116,Gain
CONTROL12,15,29588000,29623885,Gain
CONTROL12,7,148639820,149503404,LOH
CONTROL12,22,19229759,20224601,Loss
CONTROL12,2,236953048,237797164,Gain
CONTROL12,20,45585074,46025860,Gain
CONTROL12,6,124787509,125304008,LOH
CONTROL12,3,86968863,87092422,LOH
CONTROL12,13,50576168,51230967,Loss
CONTROL12,12,80010073,80121020,Loss
CONTROL12,19,27414261,27688731,Loss
CONTROL12,5,162114231,162342579,Loss
CONTROL12,18,48215626,48973604,Loss
CONTROL12,20,44525282,44770972,Gain
CONTROL12,10,83166966,83992449,LOH
CONTROL12,4,122365460,123351537,Loss
CONTROL12,12,80922256,81344545,Gain
CONTROL12,8,11097799,11376709,Loss
CONTROL12,19,49591593,50119290,Gain
CONTROL12,22,17236707,17282580,LOH
CONTROL12,22,42939241,43723009,Loss
CONTROL12,21,44983235,45848124,Gain
CONTROL12,7,89937213,90066334,Loss
CONTROL12,19,32920390,33162942,LOH
CONTROL12,22,1321066,1875758,Loss
CONTROL12,18,8025634,8717658,Loss
CONTROL12,15,79936164,80434934,LOH
CONTROL12,14,17723399,18456785,Loss
CONTROL12,3,66659525,67249562,Loss
CONTROL12,18,27046565,27404238,Gain
CONTROL12,22,30227213,30707112,Loss
CONTROL12,4,153600064,154301592,LOH
CONTROL12,7,59118815,59956400,LOH
CONTROL12,13,81979711,82920938,Loss
CONTROL12,3,42783946,43589923,Loss
CONTROL12,2,179273448,180127898,Gain
CONTROL12,18,61999907,62403156,Loss
CONTROL12,14,87358299,88005848,Gain
CONTROL12,1,43058840,43552558,Loss
CONTROL12,4,66422881,67355475,LOH
CONTROL12,4,170813148,171175003,LOH
CONTROL12,6,130663645,131237383,Loss
CONTROL12,Y,47587971,47942840,LOH
CONTROL12,8,91024068,91806051,Loss
CONTROL12,13,10073151,10085861,Loss
CONTROL12,14,87665149,88016095,Gain
CONTROL12,19,59563849,60134892,LOH
CONTROL12,9,38531688,39121044,Gain
CONTROL12,20,12608366,12762330,Gain
CONTROL12,4,20214028,21024967,Loss
CONTROL12,12,79825393,80631826,LOH
CONTROL12,17,43776850,44050612,LOH
CONTROL12,21,23715441,23954244,LOH
CONTROL12,12,109944678,109963769,Loss
CONTROL12,4,1272601,1556688,Loss
CONTROL12,13,9438748,9954829,LOH
CONTROL12,14,90707247,91559318,LOH
CONTROL12,2,171824951,172141867,Gain
CONTROL12,14,18663987,19547221,Gain
CONTROL12,12,64640369,64955993,LOH
CONTROL12,21,35308600,35408121,Loss
CONTROL12,Y,1244100,1981505,Gain
CONTROL12,15,17970431,18512384,Loss
CONTROL12,4,42037508,42874592,LOH
CONTROL12,15,72239312,73188921,LOH
CONTROL12,7,145391196,145564148,LOH
CONTROL12,19,25351017,26142960,LOH
CONTROL12,Y,35090171,35112611,Loss
CONTROL12,1,95272091,95713625,Loss
CONTROL12,21,22652276,23540211,LOH
CONTROL12,12,8585738,9554398,Loss
CONTROL12,1,111804341,112638287,Gain
CONTROL12,16,19953659,20018534,LOH
CONTROL12,X,147004612,147536668,LOH
CONTROL12,1,194738863,194996205,Loss
CONTROL12,2,29075611,29669115,Gain
CONTROL12,7,35706871,36628564,Loss
CONTROL12,2,217193484,217243903,Loss
CONTROL12,19,60623334,61080963,Gain
CONTROL12,6,97790266,98640850,Loss
CONTROL12,16,4430397,4635060,Loss
CONTROL12,2,234959882,235497659,Loss
CONTROL12,19,37664076,38329372,Loss
CONTROL12,15,4288808,4499151,LOH
CONTROL12,2,114979562,115165786,Gain
CONTROL12,9,101119144,101768095,Gain
CONTROL12,15,17516109,17765267,Loss
CONTROL12,2,75854725,76211839,Loss
CONTROL12,15,84741271,85115362,Gain
CONTROL12,X,15146304,15852993,Gain
CONTROL12,10,111912946,112386801,Loss
CONTROL12,22,15644711,16429442,Gain
CONTROL12,11,116695876,116759515,Gain
CONTROL13,8,3446201,3495973,Gain
CONTROL13,12,96663534,97294706,Loss
CONTROL13,14,11339483,12188448,Gain
CONTROL13,2,140350957,140543170,Gain
CONTROL13,20,36998300,37829774,Loss
CONTROL13,13,83144865,83250224,LOH
CONTROL13,14,32414579,33059027,Gain
CONTROL13,4,128517488,129238206,LOH
CONTROL13,9,17051019,17753571,LOH
CONTROL13,4,160038779,160362619,Gain
CONTROL13,10,56960444,57008918,LOH
CONTROL13,15,78734167,78941383,Gain
CONTROL13,15,20042978,20592272,Gain
CONTROL13,4,170048605,170582033,Loss
CONTROL13,14,52718917,53610373,Gain
CONTROL13,7,79960961,80088404,Loss
CONTROL13,10,103699086,103933407,Loss
CONTROL13,20,53680053,54233858,Gain
CONTROL13,16,9021843,9395588,Loss
CONTROL13,5,92227319,93006593,Gain
CONTROL13,13,13727588,14668511,Loss
CONTROL13,6,85483848,86313269,Gain
CONTROL13,4,127090693,127149521,Gain
CONTROL13,X,25517286,25992906,Loss
CONTROL13,14,15463505,16390174,LOH
CONTROL13,13,86180838,87133274,Gain
CONTROL13,8,15967786,16083296,LOH
CONTROL13,16,41108025,41652556,LOH
CONTROL13,19,31034179,31755707,Loss
CONTROL13,11,29350461,29907367,Loss
CONTROL13,15,69796616,70081419,LOH
CONTROL13,5,112594751,113448429,Gain
CONTROL13,19,48685917,49305215,LOH
CONTROL13,2,222669548,222920928,Loss
CONTROL13,7,112620136,113350049,LOH
CONTROL13,20,19292727,19964038,LOH
CONTROL13,2,14244370,14265066,LOH
CONTROL13,5,20232374,20482922,LOH
CONTROL13,14,9676836,10321592,Gain
CONTROL13,13,36591657,36986207,LOH
CONTROL13,21,22073886,22947574,Loss
CONTROL13,6,53536614,54025949,LOH
CONTROL13,22,4719385,4805869,Gain
CONTROL13,21,38368310,38728159,Loss
CONTROL13,17,30876439,31113467,LOH
CONTROL13,19,53167895,53543687,Gain
CONTROL13,16,21213113,21428984,LOH
CONTROL13,X,48415938,49196498,LOH
CONTROL13,13,47785386,48658086,LOH
CONTROL13,3,68194686,68999650,LOH
CONTROL13,4,145026458,145319854,LOH
CONTROL13,12,46426585,47332041,Gain
CONTROL13,22,34143853,34842617,Loss
CONTROL13,17,53716866,53870207,LOH
CONTROL13,10,31393169,31605415,Loss
CONTROL13,12,44200852,44627554,LOH
CONTROL13,1,105808795,106488029,Gain
CONTROL13,Y,16444100,16516035,Loss
CONTROL13,13,78963819,79522696,Loss
CONTROL13,16,67681703,68630962,Loss
CONTROL13,13,63505514,63756877,Gain
CONTROL13,Y,39015023,39774157,Loss
CONTROL13,11,44289861,45229574,Loss
CONTROL13,7,146128173,146506235,Gain
CONTROL13,3,41225708,41719879,LOH
CONTROL13,19,6183150,6707984,LOH
CONTROL13,8,136621276,137344440,Loss
CONTROL13,9,126911851,127041107,LOH
CONTROL13,10,80139588,80311531,Loss
CONTROL13,15,40174019,40305916,Gain
CONTROL13,10,99594690,99798963,LOH
CONTROL13,14,64580762,65131394,LOH
CONTROL13,16,44415004,44647992,Loss
CONTROL13,22,10671140,11017557,Loss
CONTROL13,22,1413392,2102630,LOH
CONTROL13,16,40661443,41014590,Loss
CONTROL13,10,22190595,22992580,Loss
CONTROL13,4,22654985,23309993,Gain
CONTROL13,X,115262088,115597952,Loss
CONTROL13,1,116234287,117021470,Loss
CONTROL13,5,120035431,120986942,Gain
CONTROL13,1,242770049,243060275,Loss
CONTROL13,21,44477741,45315336,Loss
CONTROL13,22,48639808,49465453,Loss
CONTROL13,20,36221025,37056284,Gain
CONTROL13,6,134177963,134206360,LOH
CONTROL13,13,87744303,88617393,Gain
CONTROL13,3,58777388,59712719,Gain
CONTROL13,10,35354722,36287062,LOH
CONTROL13,21,31138905,31899747,Loss
CONTROL13,15,43157594,43364033,Loss
CONTROL13,4,18541748,19082058,LOH
CONTROL13,12,25457248,26173239,Gain
CONTROL13,17,47826940,48458160,Gain
CONTROL13,11,87606977,87979993,LOH
CONTROL13,8,26539543,26947656,LOH
CONTROL13,16,62568829,62624910,Loss
CONTROL13,X,130967046,131461299,Loss
CONTROL13,3,120884434,121276861,Loss
CONTROL13,19,23979500,24277516,LOH
CONTROL13,22,22916417,23060591,Loss
CONTROL14,18,34465146,34557754,Gain
CONTROL14,X,30720775,31080121,LOH
CONTROL14,Y,39340460,39669134,LOH
CONTROL14,1,152145163,152287903,Loss
CONTROL14,22,27033998,27218901,Loss
CONTROL14,20,61016478,61122117,Gain
CONTROL14,12,60260388,61045247,Gain
CONTROL14,11,6855955,7679274,LOH
CONTROL14,17,5088932,5859577,Loss
CONTROL14,10,6957568,7946488,LOH
CONTROL14,8,77675548,78327415,Loss
CONTROL14,14,55098231,55772821,Loss
CONTROL14,19,32732389,33193656,Gain
CONTROL14,21,19984051,20544750,LOH
CONTROL14,4,172109159,172230476,LOH
CONTROL14,13,23577583,24251658,LOH
